"timestamp"	"attitude"	"condition"	"age"	"gender"
1646949130	6	"c"	2000	"female"
1646957136	3	"c"	1993	"female"
1646982935	2	"c"	1998	"female"
1646995568	2	"c"	1999	"female"
1646962212	1	"c"	1997	"female"
1646991601	2	"c"	2001	"female"
1646936362	3	"c"	2001	"female"
1646969422	6	"c"	2001	"female"
1646995321	1	"c"	1997	"female"
1646957819	2	"c"	2000	"male"
1646993281	3	"c"	2003	"female"
1646946121	2	"c"	1999	"female"
1646933235	5	"c"	1998	"male"
1646973768	4	"c"	1999	"female"
1646979158	2	"c"	2003	"female"
1646981472	1	"c"	2002	"female"
1646994566	6	"c"	2003	"female"
1646985666	1	"c"	2004	"female"
1647011046	5	"c"	2001	"female"
1646936481	3	"c"	2000	"male"
1646982591	5	"c"	2002	"female"
1646991705	1	"c"	1994	"female"
1647009926	3	"c"	2003	"other"
1646940731	3	"c"	2001	"female"
1646960565	7	"c"	1999	"female"
1646951618	2	"c"	1999	"female"
1646938557	2	"c"	2001	"female"
1647007552	4	"c"	2001	"female"
1646985260	3	"c"	2001	"female"
1646988759	2	"c"	2000	"male"
1646987081	5	"c"	1999	"female"
1646932301	2	"c"	2002	"female"
1646941656	4	"c"	1996	"female"
1646957860	4	"c"	1997	"female"
1646991501	2	"c"	2003	"female"
1646966786	2	"c"	2002	"male"
1646985998	4	"c"	2001	"male"
1646970306	5	"c"	1998	"female"
1646963383	2	"c"	1999	"female"
1646966637	2	"c"	2003	"female"
1646936860	6	"c"	2000	"female"
1646964231	3	"c"	1999	"female"
1646963151	2	"c"	2000	"female"
1647002834	3	"c"	2002	"female"
1646987022	5	"c"	2001	"female"
1646996499	2	"c"	2001	"other"
1647002378	2	"c"	2001	"male"
1646996823	2	"c"	1999	"female"
1646995254	6	"c"	1998	"female"
1647000614	2	"c"	2003	"male"
1646937832	5	"t"	2000	"female"
1646952383	3	"t"	1999	"male"
1646955506	2	"t"	1998	"female"
1646987274	6	"t"	2003	"female"
1647007441	3	"t"	1998	"female"
1646930827	3	"t"	2002	"female"
1646955737	3	"t"	2001	"female"
1646978948	3	"t"	2001	"other"
1646999476	2	"t"	2002	"female"
1646989500	2	"t"	2000	"female"
1646953104	5	"t"	2000	"male"
1646950912	5	"t"	1999	"male"
1647014967	4	"t"	2001	"male"
1646952242	1	"t"	2002	"male"
1646939059	3	"t"	1997	"female"
1647002824	4	"t"	2003	"female"
1646984799	5	"t"	2001	"male"
1646992731	4	"t"	2002	"female"
1647006285	4	"t"	2000	"female"
1647008111	6	"t"	2001	"female"
1646969705	3	"t"	1996	"female"
1646961571	5	"t"	2001	"female"
1647004194	4	"t"	2002	"male"
1646981738	3	"t"	2003	"male"
1646931141	5	"t"	2002	"female"
1646943261	4	"t"	2001	"female"
1646999581	5	"t"	1998	"female"
1647015714	5	"t"	2001	"male"
1647007126	2	"t"	1995	"male"
1647011144	5	"t"	2001	"male"
1647011824	5	"t"	1999	"female"
1647006968	5	"t"	1999	"male"
1646939267	3	"t"	2002	"male"
1646943971	3	"t"	2002	"female"
1646997788	2	"t"	2000	"male"
1647016081	2	"t"	1999	"male"
1646993538	5	"t"	2001	"female"
1646953010	5	"t"	2002	"male"
1646952172	4	"t"	2001	"male"
1646958195	5	"t"	2002	"female"
1646934500	5	"t"	1998	"female"
1646958603	3	"t"	1999	"female"
1647003864	3	"t"	2002	"female"
1646934403	2	"t"	1999	"female"
1646957577	3	"t"	1997	"female"
1646969963	3	"t"	2001	"female"
1646981275	4	"t"	2001	"female"
1646982244	4	"t"	1999	"male"
1647003771	4	"t"	2003	"male"
1646978336	5	"t"	1998	"female"
